0, 0000000000000000001000010100011000000000000000000000000000000000
1, 0000000000000000000110010001101000000000000000010000000000000000
2, 0000000000000000001000111011100100000000000000100000000000000000
3, 0000000000000000000101110000000100000000000000110000000000000000
4, 0000000000000000001010000000011000000000000001000000000000000000
5, 0000000000000000000101111101011100000000000001010000000000000000
6, 0000000000000000001000011011001000000000000001100000000000000000
7, 0000000000000000001001001101010000000000000000000000000000000000
8, 0000000000000000000111111100100000000000000000010000000000000000
9, 0000000000000000001010110100111100000000000000100000000000000000
10, 0000000000000000000111110111001000000000000000110000000000000000
11, 0000000000000000001010101001000100000000000001000000000000000000
12, 0000000000000000000101110010100100000000000001010000000000000000
13, 0000000000000000001001000111001000000000000001100000000000000000
14, 0000000000000000001000001110001100000000000000000000000000000000
15, 0000000000000000001000001010011000000000000000010000000000000000
16, 0000000000000000000101011110001100000000000000100000000100000000
17, 0000000000000000000111000010111000000000000000110000000000000000
18, 0000000000000000001001110010000100000000000001000000000000000000
19, 0000000000000000000110010001101100000000000001010000000000000000
20, 0000000000000000001010000111001000000000000001100000000000000000
21, 0000000000000000001000011110010100000000000000000000000000000000
22, 0000000000000000000101011111101000000000000000010000000100000000
